gene_ID,control_12,control_26,control_11,control_14,control_6,GBM_27,GBM_29,GBM_3,GBM_8,GBM_9,metastasis_21,metastasis_22,metastasis_23,metastasis_28,metastasis_30,control_15,metastasis_16
ENSG00000167920,2,16,46,24,70,22,0,50,11,20,0,0,0,12,24,52,26
ENSG00000187242,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0
ENSG00000171431,0,0,0,2,0,2,4,0,0,0,0,0,0,8,5,0,304
ENSG00000108244,0,0,1,176,24,2,4,0,4,0,3,5,0,0,1,19,2039
ENSG00000196859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ENSG00000204889,0,8,0,0,0,1,2,0,0,0,0,25,3,0,7,0,3
ENSG00000212899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212900,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,27,0
ENSG00000212901,0,0,0,0,0,1,0,0,0,0,0,0,3,0,9,0,0
ENSG00000221852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000204887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000221880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212724,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0
ENSG00000213417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240871,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ENSG00000204880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
ENSG00000241241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212722,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212721,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1
ENSG00000213416,1,4,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0
ENSG00000198090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198271,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ENSG00000171396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000240542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000239886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212658,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
ENSG00000212657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006059,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0
ENSG00000131738,0,0,0,2,0,5,0,0,0,0,40,0,0,1,0,33,0
ENSG00000131737,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
ENSG00000094796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
ENSG00000108417,0,0,0,2,0,0,0,0,0,0,0,4,1,0,1,0,0
ENSG00000171360,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5
ENSG00000108759,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0
ENSG00000197079,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,11
ENSG00000126337,1,0,0,2,0,0,0,2,9,2,0,0,0,2,0,0,0
ENSG00000171401,0,0,0,1,0,1,0,0,0,0,8,0,6,8,0,3,1
ENSG00000171346,2,0,10,3,0,4,1,1,0,0,0,1,8,187,95,0,39
ENSG00000171345,173,108,429,57,12,32,4,5,5,13,1,71,48,1843,1137,505,735
ENSG00000171403,1,0,0,1,0,11,0,0,0,0,0,0,1,0,0,4,0
ENSG00000186847,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0
ENSG00000186832,1,0,0,2,0,1,0,1,0,0,0,0,0,0,5,0,2
ENSG00000128422,1,0,1,5,0,1,0,33,0,55,0,0,0,0,19,0,68
ENSG00000278954,0,3,0,5,0,3,0,3,1,3,0,0,0,0,1,0,0
ENSG00000173812,1398,3277,6890,6473,5762,1309,137,6559,7846,9173,4,197,180,1265,1356,4607,19446
ENSG00000184502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
